2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 0
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 1
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, ACK, 0
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, ACK, 1
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 2
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 3
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, ACK, 2
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, ACK, 3
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 4
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 5
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, ACK, 4
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, ACK, 5
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 6
2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 7
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, ACK, 6
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, ACK, 7
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, DATA, 8
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, DATA, 9
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, ACK, 8
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, ACK, 9
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, DATA, 10
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, DATA, 11
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, ACK, 10
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, ACK, 11
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, DATA, 12
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, DATA, 13
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, ACK, 12
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, ACK, 13
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, DATA, 14
2024-02-25T01:33:54Z, 0, 127.0.0.1, 8080, DATA, 15
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 14
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 15
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 16
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 17
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 16
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 17
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 18
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 19
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 18
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 19
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 20
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 21
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 20
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 21
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 22
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 23
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 22
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 23
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 24
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 25
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 24
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 25
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 26
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 27
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 26
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 27
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 28
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 29
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 28
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 29
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 30
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 31
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 30
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 31
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 32
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 33
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 32
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, ACK, 33
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 34
2024-02-25T01:33:55Z, 0, 127.0.0.1, 8080, DATA, 35
2024-02-25T01:33:56Z, 0, 127.0.0.1, 8080, ACK, 34
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 35
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 36
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 37
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 36
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 37
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 38
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 39
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 38
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 39
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 40
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 41
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 40
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 41
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 42
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 43
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 42
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 43
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 44
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 45
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 44
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 45
